shortme	for2591_id	species	sex	strain	animal_id	treatment	subproject	groups	mod	repeats	bwc	rgs	tint_mouse	nesting_rat	burrowing_rat	openfield_rat	cort_plasma	cort_fec	cort_fur_hair	food	social_interaction	Sacc_pref	OF_rearing_frequency	Of_immobile_duration	OF_center_time	BWB_WB	BWB_entries_in_BB	BWB_streching	BWB_LT	EPM_stretching	EPM_head_dip	EPM_closed_arms_duration	EPM_open_arms_duration	EPM_open1_3	Adrel_glands	Creatincise	Oxytocin	BDNF	Irwin	Seizures_n	Seizures_duration	Act_d	Act_n	HR_d	HR_n	NN.I_d	NN.I_n	NNx_d	NNx_n	pNNx_d	pNNx_n	RMSSD_d	RMSSD_n	SDNN_d	SDNN_n	MPPF_hippocampus_L	MPPF_hippocampus_R	MPPF_mPFC	MPPF_septum	FDG_mPFC	FDG_septum	FDG_amygdala	FDG_striatum	FDG_hypothalamus	FDG_thalamus	FDG_parietal_cortex	FDG_hippocampus	Init.ADT	Init.SD	total.SD	Mean.SD
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 57	ive	beh	chem_beh_ive	chem	-1					1875.8			3.4797																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 59	ive	beh	chem_beh_ive	chem	-1					1778.2			1.9845																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 64	ive	beh	chem_beh_ive	chem	-1					1965.7			2.793																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 76	ive	beh	chem_beh_ive	chem	-1					1880.8			3.8																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 85	ive	beh	chem_beh_ive	chem	-1					1865.5			3.9837																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 87	ive	beh	chem_beh_ive	chem	-1					1267.2			3.3264																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 88	ive	beh	chem_beh_ive	chem	-1					1636.8			2.52																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 89	ive	beh	chem_beh_ive	chem	-1					2020.3			3.1794																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 92	ive	beh	chem_beh_ive	chem	-1					1545.7			1.7346																						0																															
PostSE_chemical_behaviour	P11	rat	female	Sprague Dawley	Ko 96	ive	beh	chem_beh_ive	chem	-1					1932.4			1.3839																						0																															
